name,Lancet-2,Castle-3,THRM-EX,'Justice Knight',Terra Research Commission,U-Official,Friston-3,PhonoR-0,Yato,Noir Corne,Rangers,Durin,12F,Fang,Vanilla,Plume,Melantha,Popukar,Cardigan,Beagle,Spot,Kroos,Adnachiel,Lava,Hibiscus,Ansel,Steward,Orchid,Haze,Gitano,Greyy,Click,Indigo,Pudding,Jessica,Meteor,Vermeil,May,Shirayuki,Pinecone,Ambriel,Aciddrop,Totter,Caper,Courier,Scavenger,Vigna,Myrtle,Beanstalk,Dobermann,Matoimaru,Conviction,Frostleaf,Estelle,Mousse,Cutter,Utage,Arene,Luo Xiaohei,Quartz,Humus,Gravel,Jaye,Rope,Myrrh,Gavial,Sussurro,Perfumer,Purestream,Chestnut,Matterhorn,Cuora,Bubble,Lutonada,Gummy,Dur-nar,Deepcolor,Earthspirit,Podenco,Roberta,Ethan,Shaw,Verdant,Ptilopsis,Breeze,Zima,Texas,Chiave,Poncirus,Kestrel,Reed,Wild Mane,Fang the Fire-Sharpened,Elysium,Wanqing,Blacknight,Cantabile,Puzzle,Swire,Whislash,Bryophyta,Doc,Franka,Flamebringer,Morgan,Indra,Flint,Dagda,Lappland,Ayerscarpe,Leto,Wind Chimes,Bibeak,Tachanka,Specter,Broca,Fuze,Astesia,Sideroca,Akafuyu,Rathalos S Noir Corne,La Pluma,Highmore,Tequila,Odda,Blue Poison,Platinum,GreyThroat,April,Kroos the Keen Glint,Insider,Meteorite,Sesa,Jieyun,Executor,Aosta,Amiya,Absinthe,Tomimi,Qanipalaat,Skyfire,Leizi,Astgenne,Beeswax,Leonhardt,Santalla,Mint,Iris,Harmonie,Delphine,Lava the Purgatory,Corroserum,Aroma,Kjera,Rockrock,Minimalist,Diamante,Warmy,Mayer,Scene,Silence,Warfarin,Folinic,Ceylon,Whisperain,Tuye,Mulberry,Honeyberry,Harold,Hibiscus the Purifier,Vendela,Paprika,Nearl,Hung,Bassline,Projekt Red,Waai Fu,Kafka,Mr. Nothing,Liskarm,Croissant,Bison,Vulcan,Asbestos,Shalem,Czerny,Blitz,Heavyrain,Ashlock,Firewhistle,Aurora,Cement,Provence,Melanite,Firewatch,Andreana,Lunacub,Toddifons,Erato,Greyy the Lightningbearer,Coldshot,Spuria,Cliffheart,Snowsant,Almond,Pramanix,Shamare,Istina,Glaucus,Proviso,Grain Buds,Windflit,Sora,Heidi,Tsukinogi,Nine-Colored Deer,Quercus,Valarqvin,Manticore,Kirara,FEater,Enforcer,Robin,Frost,Bena,Kazemaru,Iana,Exusiai,Archetto,Ash,Schwarz,Pozëmka,Fartooth,W,Fiammetta,Rosa,Typhon,Rosmontis,Wiš'adel,Ch'en the Holungday,Ray,Siege,Bagpipe,Saga,Saileach,Flametail,Vigil,Muelsyse,Ines,Ifrit,Mostima,Eyjafjalla,Ceobe,Ho'olheyak,Logos,Dusk,Passenger,Carnelian,Lin,Goldenglow,Ebenholz,Gnosis,Angelina,Suzuran,Magallan,Skadi the Corrupting Heart,Civilight Eterna,Silence the Paradigmatic,Ling,Stainless,Virtuosa,Phantom,Texas the Omertosa,Kirin R Yato,Lee,Swire the Elegant Wit,Weedy,Aak,Gladiia,Mizuki,Ascalon,Specter the Unchained,Dorothy,Ela,Shining,Nightingale,Kal'tsit,Lumen,Eyjafjalla the Hvít Aska,Reed the Flame Shadow,Hoshiguma,Saria,Blemishine,Shu,Nian,Mudrock,Penance,Eunectes,Horn,Jessica the Liberated,Mountain,Chongyue,SilverAsh,Thorns,Qiubai,Hoederer,Ch'en,Irene,Degenbrecher,Blaze,Gavial the Invincible,Surtr,Viviana,Hellagur,Zuo Le,Pallas,Nearl the Radiant Knight,Lessing,Executor the Ex Foedere,Młynar,Savage,Catapult,Midnight,Beehunter,Jackie,Nightmare,Grani,Skadi
unit_classes,MEDIC,WARRIOR,SPECIAL,SNIPER,SNIPER,SUPPORT,TANK,SUPPORT,PIONEER,TANK,SNIPER,CASTER,CASTER,PIONEER,PIONEER,PIONEER,WARRIOR,WARRIOR,TANK,TANK,TANK,SNIPER,SNIPER,CASTER,MEDIC,MEDIC,CASTER,SUPPORT,CASTER,CASTER,CASTER,CASTER,CASTER,CASTER,SNIPER,SNIPER,SNIPER,SNIPER,SNIPER,SNIPER,SNIPER,SNIPER,SNIPER,SNIPER,PIONEER,PIONEER,PIONEER,PIONEER,PIONEER,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,SPECIAL,SPECIAL,SPECIAL,MEDIC,MEDIC,MEDIC,MEDIC,MEDIC,MEDIC,TANK,TANK,TANK,TANK,TANK,TANK,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SPECIAL,SPECIAL,SPECIAL,MEDIC,MEDIC,PIONEER,PIONEER,PIONEER,PIONEER,PIONEER,PIONEER,PIONEER,PIONEER,PIONEER,PIONEER,PIONEER,PIONEER,PIONEER,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,SNIPER,SNIPER,SNIPER,SNIPER,SNIPER,SNIPER,SNIPER,SNIPER,SNIPER,SNIPER,SNIPER,CASTER,CASTER,CASTER,CASTER,CASTER,CASTER,CASTER,CASTER,CASTER,CASTER,CASTER,CASTER,CASTER,CASTER,CASTER,CASTER,CASTER,CASTER,CASTER,CASTER,CASTER,CASTER,SUPPORT,SUPPORT,MEDIC,MEDIC,MEDIC,MEDIC,MEDIC,MEDIC,MEDIC,MEDIC,MEDIC,MEDIC,MEDIC,MEDIC,TANK,TANK,TANK,SPECIAL,SPECIAL,SPECIAL,SPECIAL,TANK,TANK,TANK,TANK,TANK,TANK,TANK,TANK,TANK,TANK,TANK,TANK,TANK,SNIPER,SNIPER,SNIPER,SNIPER,SNIPER,SNIPER,SNIPER,SNIPER,SNIPER,SPECIAL,SPECIAL,SPECIAL,SPECIAL,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SPECIAL,SPECIAL,SPECIAL,SPECIAL,SPECIAL,SPECIAL,SPECIAL,SPECIAL,SPECIAL,SNIPER,SNIPER,SNIPER,SNIPER,SNIPER,SNIPER,SNIPER,SNIPER,SNIPER,SNIPER,SNIPER,SNIPER,SNIPER,SNIPER,PIONEER,PIONEER,PIONEER,PIONEER,PIONEER,PIONEER,PIONEER,PIONEER,CASTER,CASTER,CASTER,CASTER,CASTER,CASTER,CASTER,CASTER,CASTER,CASTER,CASTER,CASTER,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SPECIAL,SPECIAL,SPECIAL,SPECIAL,SPECIAL,SPECIAL,SPECIAL,SPECIAL,SPECIAL,SPECIAL,SPECIAL,SPECIAL,SPECIAL,MEDIC,MEDIC,MEDIC,MEDIC,MEDIC,MEDIC,TANK,TANK,TANK,TANK,TANK,TANK,TANK,TANK,TANK,TANK,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,WARRIOR,SNIPER,WARRIOR,WARRIOR,WARRIOR,CASTER,PIONEER,WARRIOR
sub_classes,physician,fearless,executor,fastshot,bombarder,bard,protector,ritualist,pioneer,protector,fastshot,corecaster,splashcaster,pioneer,pioneer,charger,fearless,centurion,protector,protector,guardian,fastshot,fastshot,splashcaster,physician,physician,corecaster,slower,corecaster,splashcaster,splashcaster,funnel,mystic,chain,fastshot,fastshot,fastshot,fastshot,aoesniper,reaperrange,longrange,closerange,siegesniper,loopshooter,pioneer,pioneer,charger,bearer,tactician,instructor,fearless,fearless,lord,centurion,artsfghter,sword,musha,lord,lord,crusher,reaper,executor,merchant,hookmaster,physician,physician,physician,ringhealer,healer,wandermedic,protector,protector,protector,unyield,guardian,artsprotector,summoner,slower,slower,craftsman,stalker,pusher,dollkeeper,ringhealer,ringhealer,pioneer,pioneer,pioneer,pioneer,pioneer,charger,charger,charger,bearer,bearer,tactician,agent,agent,instructor,instructor,instructor,instructor,fearless,fearless,fearless,fighter,fighter,fighter,lord,lord,lord,crusher,sword,sword,centurion,centurion,centurion,artsfghter,artsfghter,musha,musha,reaper,reaper,librator,hammer,fastshot,fastshot,fastshot,fastshot,fastshot,fastshot,aoesniper,aoesniper,aoesniper,reaperrange,reaperrange,corecaster,corecaster,corecaster,corecaster,splashcaster,chain,chain,phalanx,splashcaster,splashcaster,phalanx,mystic,mystic,mystic,splashcaster,blastcaster,blastcaster,funnel,funnel,funnel,primcaster,primcaster,summoner,summoner,physician,physician,physician,healer,healer,physician,wandermedic,wandermedic,wandermedic,incantationmedic,incantationmedic,chainhealer,guardian,guardian,guardian,executor,executor,executor,merchant,shotprotector,protector,protector,unyield,artsprotector,artsprotector,artsprotector,shotprotector,protector,fortress,fortress,duelist,duelist,closerange,closerange,longrange,longrange,longrange,siegesniper,siegesniper,bombarder,hunter,geek,hookmaster,hookmaster,hookmaster,underminer,underminer,slower,slower,slower,slower,craftsman,bard,bard,blessing,blessing,blessing,ritualist,stalker,stalker,pusher,pusher,traper,traper,dollkeeper,dollkeeper,dollkeeper,fastshot,fastshot,fastshot,closerange,closerange,longrange,aoesniper,aoesniper,siegesniper,siegesniper,bombarder,bombarder,reaperrange,hunter,pioneer,charger,pioneer,bearer,pioneer,tactician,tactician,agent,blastcaster,splashcaster,corecaster,corecaster,corecaster,corecaster,splashcaster,chain,phalanx,phalanx,funnel,mystic,underminer,slower,slower,summoner,bard,bard,blessing,summoner,craftsman,ritualist,executor,executor,executor,merchant,merchant,pusher,geek,hookmaster,stalker,stalker,dollkeeper,traper,traper,physician,ringhealer,physician,healer,wandermedic,incantationmedic,protector,guardian,guardian,guardian,protector,unyield,unyield,duelist,fortress,shotprotector,fighter,fighter,lord,lord,lord,crusher,sword,sword,sword,centurion,centurion,artsfghter,artsfghter,musha,musha,instructor,fearless,fearless,reaper,librator,centurion,aoesniper,lord,fighter,fighter,corecaster,charger,fearless
hp,435,1191,1443,495,518,385,1152,395,1030,1670,780,952,1461,1325,1270,1226,2745,1858,2130,2035,1833,1060,1080,1141,1220,1135,1100,935,1420,1598,1537,1440,1435,1326,1320,1370,1230,1632,1630,2200,1595,1576,1550,2200,1985,1835,1845,1565,1569,2024,3640,3483,2260,2500,2345,2320,3444,2250,2040,5432,2150,1420,2284,1720,1420,1580,1345,1560,1365,1137,3235,3105,3416,3550,2550,3007,1050,1205,1163,2470,1530,1785,2266,1610,1595,2150,1950,1824,2215,1960,2215,2225,2226,1669,1516,1625,1917,1860,1914,1932,1900,2217,3768,3907,3810,2565,2495,2506,2350,2420,2280,5669,2550,2626,2630,2335,2660,2523,2845,3635,3518,2250,2120,3757,2593,1230,1550,1493,1280,1520,1440,1505,1655,1650,2330,2376,1480,1420,1920,1500,1620,1443,1440,2005,1637,1640,1945,1535,1546,1532,1543,1572,1591,1475,1468,1400,1309,1358,1068,1105,1595,1520,1585,1455,1432,1550,1367,1458,1400,1508,1370,1666,2780,2823,2770,1505,1455,1675,2398,3240,3520,3456,3688,3135,3090,3122,3213,3380,3207,2983,4027,3642,1680,1664,1450,1498,1536,1667,1648,1730,1855,1893,1970,1835,2130,1605,1728,1280,1267,1298,1260,2600,1356,1260,1720,1685,1680,1097,1630,1780,1845,1937,1442,1359,2435,2372,2436,1673,1705,1689,1833,1802,1522,1605,1926,1755,1702,1944,1888,2501,1933,2251,2484,2205,1835,2138,1755,1813,2121,1680,1831,1743,1565,1770,1663,1801,1558,2106,2048,1480,1678,2035,1385,1480,1103,1603,1628,1927,1079,2723,1201,1645,1598,1629,2427,2360,2133,2034,2309,1758,1623,2803,1502,1468,1613,1705,1633,1825,1439,1583,3850,3150,3242,3213,3699,3928,4055,4468,3067,3608,2745,2635,2560,2612,2480,5988,2880,2935,2891,2821,2906,2916,2920,3825,3858,1963,3550,3682,2491,3906,2430,1150,1653,2435,2378,1510,2235,3866
atk,70,353,260,172,276,102,198,205,232,240,269,340,432,325,355,445,738,495,305,295,320,375,365,582,345,362,470,378,583,715,699,315,1116,542,475,465,485,478,797,667,977,735,920,600,435,470,558,520,405,602,916,929,660,690,644,571,693,640,698,1387,616,452,674,728,465,450,488,320,454,389,375,365,370,790,435,583,403,480,492,535,742,580,672,335,343,470,500,522,455,514,562,558,570,533,514,442,560,566,656,645,650,657,936,918,905,530,545,574,685,670,680,1438,602,621,725,762,795,660,620,728,726,650,670,302,1190,535,505,513,528,502,522,865,833,835,720,691,612,633,600,625,784,635,630,735,773,770,732,1259,1245,1240,798,760,760,294,320,320,578,581,443,432,482,505,479,468,492,493,388,375,385,511,550,439,462,442,473,530,536,525,725,425,380,375,820,633,649,625,445,378,865,882,901,1002,781,792,1085,1070,1034,954,957,628,958,662,765,745,695,430,408,518,505,513,525,565,335,320,445,443,463,447,811,798,640,653,513,529,682,692,708,540,528,534,840,876,1196,912,861,1032,1045,688,687,773,1072,515,586,530,546,526,462,497,589,870,834,645,667,633,671,918,689,846,849,331,1400,455,542,521,469,368,369,467,473,593,485,558,569,565,789,810,677,703,801,865,954,737,581,588,530,350,490,540,424,550,430,485,491,479,619,882,876,1007,936,522,587,590,713,711,718,1576,610,621,635,765,766,672,646,762,780,687,1064,1044,707,355,705,617,497,513,529,622,552,1015
def,27,90,443,41,51,28,235,30,192,315,66,62,50,260,240,279,155,245,475,490,442,126,134,95,110,109,90,83,110,118,130,120,117,108,154,165,162,105,100,167,122,209,105,160,322,310,351,300,125,382,156,166,323,315,357,325,312,340,325,0,403,335,378,325,131,152,122,145,118,101,670,690,645,495,562,548,125,101,96,415,337,365,259,150,153,350,343,342,360,342,364,372,360,335,380,133,267,244,413,420,421,360,235,195,243,350,334,310,365,375,375,0,332,309,355,366,290,393,369,328,351,452,454,501,337,130,165,152,160,176,178,116,123,115,185,192,121,124,119,119,122,119,122,205,120,123,196,125,125,128,115,120,115,121,123,120,111,106,130,155,142,125,133,126,119,135,99,107,100,109,100,171,575,585,570,302,304,311,396,710,710,701,585,555,550,577,676,721,541,568,640,628,215,210,131,128,155,123,125,240,224,138,340,355,410,102,105,104,100,102,100,425,238,268,175,179,172,101,343,340,382,381,166,157,315,318,291,161,172,169,225,193,163,133,156,122,113,245,256,203,228,384,382,372,367,392,154,117,281,130,132,122,128,130,119,127,130,228,242,125,135,132,120,128,140,233,236,184,138,421,109,322,320,318,465,457,394,152,331,356,333,322,172,173,138,169,215,111,109,84,723,595,581,602,726,602,616,615,620,716,357,363,397,402,402,0,352,349,339,370,391,414,447,334,315,455,295,277,461,502,320,85,282,312,308,120,367,263
res,0.0,0.0,50.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,15.0,0.0,0.0,15.0,15.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,15.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5.0,0.0,0.0,10.0,10.0,15.0,15.0,20.0,20.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,15.0,20.0,20.0,15.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,15.0,15.0,20.0,20.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,20.0,20.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,25.0,25.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,25.0,25.0,25.0,15.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,15.0,15.0,20.0,20.0,25.0,25.0,25.0,20.0,0.0,0.0,25.0,20.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,10.0,20.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,10.0,0.0,0.0,20.0,0.0,0.0
rdp,200,200,200,200,200,200,200,200,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,18,25,70,70,70,70,70,80,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,80,70,70,80,70,35,35,70,80,80,70,70,80,80,70,70,80,70,70,70,70,70,80,70,70,80,70,80,70,70,70,70,80,80,70,70,70,70,80,80,70,70,80,70,70,70,80,80,70,70,70,80,70,70,70,80,70,70,80,80,70,70,80,70,80,70,70,70,70,70,70,80,80,70,80,70,70,80,70,70,70,70,70,70,18,18,18,25,70,70,80,70,70,70,80,70,80,70,70,70,70,70,70,70,70,70,70,70,70,80,70,70,80,70,70,70,70,70,70,70,70,70,80,70,70,70,70,70,70,70,80,80,70,80,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,35,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,80,80,70,70,70,18,18,18,25,25,70,70,80,70,70,70,70,70,70,70,70,80,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,80,70,70,70,70,70,70,70,70,80,70
cost,3,3,3,3,3,3,3,3,7,14,7,12,24,11,11,10,15,19,18,18,17,11,11,30,17,17,18,12,19,32,32,20,23,31,12,12,12,12,27,30,20,18,22,14,12,12,11,10,13,15,17,16,18,22,20,21,24,18,17,22,21,8,7,12,18,18,18,16,19,14,21,21,21,34,20,24,10,14,14,17,19,19,14,17,17,13,13,13,13,13,12,14,12,11,13,14,10,12,16,18,18,16,18,20,20,10,10,12,19,19,19,23,22,24,23,23,25,21,23,25,25,22,22,13,21,13,13,13,13,15,15,28,28,30,31,31,20,22,22,20,33,32,34,23,33,33,25,24,24,26,35,33,33,23,21,23,20,20,11,11,19,19,21,22,20,21,15,15,17,17,17,18,21,21,21,9,9,9,8,22,22,24,35,25,25,27,22,24,27,27,32,32,19,19,21,21,21,23,23,24,21,12,13,15,13,12,12,15,15,15,15,18,7,9,12,11,12,15,20,20,20,22,13,11,17,15,15,14,14,14,20,20,22,29,29,24,24,25,25,32,21,14,13,14,12,14,17,15,11,34,34,21,21,21,21,34,33,24,24,22,25,13,16,16,12,8,10,15,12,19,16,10,10,10,9,9,21,13,16,21,21,16,12,12,20,18,20,23,16,17,23,22,22,22,23,36,36,33,28,23,11,11,20,20,20,24,23,23,23,24,24,21,21,26,26,17,19,21,23,12,22,23,16,9,9,20,14,19
blk,1,1,0,1,1,1,3,1,2,3,1,1,1,2,2,1,1,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,3,1,2,1,2,2,2,2,1,1,2,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,2,0,2,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,1,1,1,1,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,0,0,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,0,0,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,1,3,3,1,1,2,2,2,2,2,2,2,3,3,1,1,1,1,2,1,1,2,3,3,1,2,1,1,1,1,1
spe,2.85,1.5,0.93,1.0,2.1,1.3,1.2,1.6,1.05,1.2,1.0,1.6,2.9,1.05,1.05,1.0,1.5,1.2,1.2,1.2,1.2,1.0,1.0,2.9,2.85,2.85,1.6,1.9,1.6,2.9,2.9,1.3,3.0,2.3,1.0,1.0,1.0,1.0,2.8,2.3,2.7,1.6,2.4,1.0,1.05,1.05,1.0,1.3,1.0,1.05,1.5,1.5,1.3,1.2,1.25,1.3,1.2,1.3,1.3,2.5,1.3,0.93,1.0,1.8,2.85,2.85,2.85,2.85,2.85,2.85,1.2,1.2,1.2,1.6,1.2,1.6,1.6,1.9,1.9,1.5,3.5,1.2,1.2,2.85,2.85,1.05,1.05,1.05,1.05,1.05,1.0,1.0,1.0,1.3,1.3,1.0,1.0,1.0,1.05,1.05,1.05,1.05,1.5,1.5,1.5,0.78,0.78,0.78,1.3,1.3,1.3,2.5,1.3,1.3,1.2,1.2,1.2,1.25,1.25,1.2,1.2,1.3,1.3,1.2,1.8,1.0,1.0,1.0,1.0,1.0,1.0,2.8,2.8,2.8,2.3,2.3,1.6,1.6,1.6,1.6,2.9,2.3,2.3,2.0,2.9,2.9,2.0,3.0,3.0,3.0,2.9,2.9,2.9,1.3,1.3,1.3,1.6,1.6,1.6,1.6,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,1.6,1.6,2.85,1.2,1.2,1.2,0.93,0.93,0.93,1.0,1.2,1.2,1.2,1.6,1.6,1.6,1.6,1.2,1.2,2.8,2.8,1.6,1.6,1.6,1.6,2.7,2.7,2.7,2.4,2.4,2.1,1.6,1.3,1.8,1.8,1.8,1.6,1.6,1.9,1.9,1.9,1.9,1.5,1.3,1.3,1.6,1.6,1.6,1.6,3.5,3.5,1.2,1.2,0.85,0.85,1.2,1.2,1.2,1.0,1.0,1.0,1.6,1.6,2.7,2.8,2.8,2.4,2.4,2.1,2.1,2.3,1.6,1.05,1.0,1.05,1.3,1.05,1.0,1.0,1.0,2.9,2.9,1.6,1.6,1.6,1.6,2.9,2.3,2.0,2.0,1.3,3.0,1.6,1.9,1.9,1.6,1.3,1.3,1.6,1.6,1.5,1.6,0.93,0.93,0.93,1.0,1.0,1.2,1.3,1.8,3.5,3.5,1.2,0.85,0.85,2.85,2.85,2.85,2.85,2.85,1.6,1.2,1.2,1.2,1.2,1.5,1.6,1.6,1.6,2.8,1.2,0.78,0.78,1.3,1.3,1.3,2.5,1.3,1.3,1.3,1.2,1.2,1.25,1.25,1.2,1.2,1.05,1.5,1.5,1.3,1.2,1.2,2.8,1.3,0.78,0.78,1.6,1.0,1.5
